embed_dim,hidden_dim,num_layers,dropout,lr,batch_size,use_pos_weight,epochs,patience,early_stop_on,val_acc,val_precision,val_recall,val_f1,val_roc_auc,val_threshold,test_acc,test_precision,test_recall,test_f1,test_roc_auc
256,128,2,0.2,0.0005,32,True,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.6064516129032258,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.7158333333333333
64,128,1,0.5,0.0003,32,True,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.6048387096774194,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.5604166666666666
128,128,1,0.5,0.001,32,False,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.6040322580645161,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.58
256,64,1,0.5,0.0005,16,False,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.6040322580645161,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.5958333333333333
256,256,2,0.2,0.0003,16,False,6,2,roc_auc,0.6197183098591549,0.55,0.7096774193548387,0.6197183098591549,0.6024193548387097,0.125,0.6122448979591837,0.5657894736842105,0.8958333333333334,0.6935483870967742,0.6937500000000001
64,256,1,0.5,0.001,32,False,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.6024193548387097,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.5225000000000001
128,128,2,0.2,0.0005,16,False,6,2,roc_auc,0.4788732394366197,0.45454545454545453,0.967741935483871,0.6185567010309279,0.6024193548387097,0.275,0.5408163265306123,0.5161290322580645,1.0,0.6808510638297872,0.6979166666666666
64,128,1,0.2,0.0005,16,True,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.6016129032258064,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.6074999999999999
64,256,2,0.2,0.0005,16,False,6,2,roc_auc,0.4507042253521127,0.44285714285714284,1.0,0.6138613861386139,0.6008064516129032,0.4,0.5102040816326531,0.5,0.9791666666666666,0.6619718309859155,0.6520833333333333
128,128,1,0.5,0.0003,16,False,6,2,roc_auc,0.5492957746478874,0.49056603773584906,0.8387096774193549,0.6190476190476191,0.6008064516129031,0.45000000000000007,0.47959183673469385,0.4794520547945205,0.7291666666666666,0.5785123966942148,0.4870833333333333
64,256,2,0.5,0.0005,32,False,6,2,roc_auc,0.5352112676056338,0.48148148148148145,0.8387096774193549,0.611764705882353,0.6,0.45000000000000007,0.5714285714285714,0.5405405405405406,0.8333333333333334,0.6557377049180327,0.5825
128,128,1,0.2,0.001,16,False,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.6,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.5654166666666667
256,256,1,0.5,0.0005,16,False,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.6,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.6033333333333334
128,128,1,0.5,0.0005,32,False,6,2,roc_auc,0.49295774647887325,0.45901639344262296,0.9032258064516129,0.6086956521739131,0.5991935483870968,0.475,0.5102040816326531,0.5,0.8541666666666666,0.6307692307692307,0.5616666666666666
128,64,1,0.2,0.0005,32,True,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.5983870967741935,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.49875
128,128,1,0.5,0.0003,16,True,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.5975806451612904,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.495
128,64,2,0.2,0.001,16,False,6,2,roc_auc,0.4647887323943662,0.4492753623188406,1.0,0.62,0.5975806451612904,0.17500000000000002,0.5408163265306123,0.5164835164835165,0.9791666666666666,0.6762589928057554,0.6795833333333333
256,64,2,0.5,0.001,32,True,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.5975806451612903,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.56375
128,64,1,0.2,0.0003,16,False,6,2,roc_auc,0.4507042253521127,0.44285714285714284,1.0,0.6138613861386139,0.5975806451612903,0.45000000000000007,0.5,0.4948453608247423,1.0,0.6620689655172414,0.5541666666666667
256,256,2,0.2,0.0005,32,True,6,2,roc_auc,0.6056338028169014,0.5348837209302325,0.7419354838709677,0.6216216216216216,0.5967741935483871,0.2,0.5612244897959183,0.5308641975308642,0.8958333333333334,0.6666666666666666,0.67375
256,128,2,0.2,0.0003,16,True,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.5967741935483871,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.6895833333333333
256,256,1,0.2,0.0003,32,True,6,2,roc_auc,0.5492957746478874,0.4909090909090909,0.8709677419354839,0.627906976744186,0.5967741935483871,0.5,0.6020408163265306,0.5652173913043478,0.8125,0.6666666666666666,0.6091666666666666
64,64,1,0.5,0.0003,16,True,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.5967741935483871,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.4425
64,256,2,0.2,0.001,16,True,6,2,roc_auc,0.4788732394366197,0.45454545454545453,0.967741935483871,0.6185567010309279,0.595967741935484,0.42500000000000004,0.5102040816326531,0.5,1.0,0.6666666666666666,0.68625
64,256,2,0.5,0.0003,32,False,6,2,roc_auc,0.5211267605633803,0.47368421052631576,0.8709677419354839,0.6136363636363636,0.5959677419354839,0.45000000000000007,0.5918367346938775,0.5526315789473685,0.875,0.6774193548387096,0.6679166666666667
128,256,1,0.2,0.0005,16,True,6,2,roc_auc,0.43661971830985913,0.43661971830985913,1.0,0.6078431372549019,0.5959677419354839,0.1,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.5558333333333333
128,64,2,0.5,0.0005,32,True,6,2,roc_auc,0.49295774647887325,0.45901639344262296,0.9032258064516129,0.6086956521739131,0.5951612903225806,0.5,0.5918367346938775,0.5512820512820513,0.8958333333333334,0.6825396825396826,0.5604166666666667
256,256,1,0.2,0.0005,16,True,6,2,roc_auc,0.5211267605633803,0.47368421052631576,0.8709677419354839,0.6136363636363636,0.5943548387096774,0.42500000000000004,0.6020408163265306,0.5569620253164557,0.9166666666666666,0.6929133858267716,0.61375
256,128,2,0.2,0.001,16,False,6,2,roc_auc,0.4788732394366197,0.453125,0.9354838709677419,0.6105263157894737,0.5935483870967743,0.45000000000000007,0.5510204081632653,0.5222222222222223,0.9791666666666666,0.6811594202898551,0.7229166666666667
128,64,1,0.2,0.001,32,False,6,2,roc_auc,0.49295774647887325,0.4603174603174603,0.9354838709677419,0.6170212765957447,0.5935483870967742,0.475,0.4489795918367347,0.4666666666666667,0.875,0.6086956521739131,0.4820833333333333
64,256,1,0.2,0.001,32,False,6,2,roc_auc,0.4647887323943662,0.4492753623188406,1.0,0.62,0.5935483870967742,0.4,0.4897959183673469,0.4897959183673469,1.0,0.6575342465753424,0.5762499999999999
256,128,1,0.5,0.0005,16,False,6,2,roc_auc,0.5492957746478874,0.4909090909090909,0.8709677419354839,0.627906976744186,0.5935483870967742,0.42500000000000004,0.6020408163265306,0.5616438356164384,0.8541666666666666,0.6776859504132231,0.66375
256,256,2,0.2,0.0005,16,True,6,2,roc_auc,0.49295774647887325,0.4576271186440678,0.8709677419354839,0.6,0.592741935483871,0.1,0.5816326530612245,0.5443037974683544,0.8958333333333334,0.6771653543307087,0.6995833333333333
128,64,1,0.5,0.0003,16,False,6,2,roc_auc,0.5352112676056338,0.4827586206896552,0.9032258064516129,0.6292134831460674,0.5919354838709677,0.475,0.46938775510204084,0.47297297297297297,0.7291666666666666,0.5737704918032787,0.55375
